Date,Parameter,Denominator,Value
2025-08-01,Staff onboarded 入职人数​,Number of Headcounts 人数,0.0
2025-08-01,Staff resigned离职人数​,Number of Headcounts 人数,4.0
2025-08-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,195.0
2025-08-01,Turnover of staff  离职率,Percentage 百分比,0.0203
2025-08-01,Vacancy 空缺人数​,Number of Headcounts 人数,2.0
2025-08-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,29.0
2025-08-01,People Managers 有下属的经理,Number of Headcounts 人数,47.0
2025-08-01,Individual Contributors 无下属员工,Number of Headcounts 人数,65.0
2025-08-01,People Managers 无下属的经理,Number of Headcounts 人数,83.0
2025-09-01,Initial staff 初期人数​,Number of Headcounts 人数,195.0
2025-09-01,Staff onboarded 入职人数​,Number of Headcounts 人数,1.0
2025-09-01,Staff resigned离职人数​,Number of Headcounts 人数,0.0
2025-09-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,196.0
2025-09-01,Turnover of staff  离职率,Percentage 百分比,0.0
2025-09-01,Vacancy 空缺人数​,Number of Headcounts 人数,1.0
2025-09-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,29.0
2025-09-01,People Managers 有下属的经理,Number of Headcounts 人数,47.0
2025-09-01,Individual Contributors 无下属员工,Number of Headcounts 人数,66.0
2025-09-01,People Managers 无下属的经理,Number of Headcounts 人数,83.0
2025-10-01,Initial staff 初期人数​,Number of Headcounts 人数,196.0
2025-10-01,Staff onboarded 入职人数​,Number of Headcounts 人数,2.0
2025-10-01,Staff resigned离职人数​,Number of Headcounts 人数,3.0
2025-10-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,195.0
2025-10-01,Turnover of staff  离职率,Percentage 百分比,0.0153
2025-10-01,Vacancy 空缺人数​,Number of Headcounts 人数,4.0
2025-10-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,29.0
2025-10-01,People Managers 有下属的经理,Number of Headcounts 人数,45.0
2025-10-01,Individual Contributors 无下属员工,Number of Headcounts 人数,66.0
2025-10-01,People Managers 无下属的经理,Number of Headcounts 人数,84.0
2025-11-01,Initial staff 初期人数​,Number of Headcounts 人数,195.0
2025-11-01,Staff onboarded 入职人数​,Number of Headcounts 人数,3.0
2025-11-01,Staff resigned离职人数​,Number of Headcounts 人数,2.0
2025-11-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,196.0
2025-11-01,Turnover of staff  离职率,Percentage 百分比,0.0102
2025-11-01,Vacancy 空缺人数​,Number of Headcounts 人数,4.0
2025-11-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,29.0
2025-11-01,People Managers 有下属的经理,Number of Headcounts 人数,45.0
2025-11-01,Individual Contributors 无下属员工,Number of Headcounts 人数,65.0
2025-11-01,People Managers 无下属的经理,Number of Headcounts 人数,86.0
2025-12-01,Initial staff 初期人数​,Number of Headcounts 人数,196.0
2025-12-01,Staff onboarded 入职人数​,Number of Headcounts 人数,1.0
2025-12-01,Staff resigned离职人数​,Number of Headcounts 人数,1.0
2025-12-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,196.0
2025-12-01,Turnover of staff  离职率,Percentage 百分比,0.0051
2025-12-01,Vacancy 空缺人数​,Number of Headcounts 人数,4.0
2025-12-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,28.0
2025-12-01,People Managers 有下属的经理,Number of Headcounts 人数,45.0
2025-12-01,Individual Contributors 无下属员工,Number of Headcounts 人数,65.0
2025-12-01,People Managers 无下属的经理,Number of Headcounts 人数,86.0
